ID,REG,DATE,TN,TX,TAVG,RH_AVG,RR,SS,FF_X,DDD_X,FF_AVG,DDD_CAR,CASES
238,jak-pus,05-11-2023,24.4,32.6,28.7,80.0,28,1.5,6.0,290.0,1.0,C ,3.0
239,jak-pus,05-11-2024,25.2,33.6,28.6,78.0,0.0,2.8,6.0,320.0,2.0,C,1.0
240,jak-pus,05-12-2021,25,28.2,26.2,85.0,2.5,0.0,3.0,270.0,0.0,C ,1.0
241,jak-pus,05-12-2022,26.0,32.2,28.6,76.0,0,1.8,7.0,320.0,1.0,C ,6.0
242,jak-pus,05-12-2023,24.8,32.4,29.4,74.0,1.4,0,5.0,320.0,1.0,C ,0.0
243,jak-pus,05-12-2024,25.0,32.2,27.7,82.0,10.4,0.0,5.0,260.0,1.0,C,2.0
244,jak-pus,06-01-2021,24,30.6,27.2,85.0,8.2,2.6,10.0,260.0,1.0,C ,0.0
245,jak-pus,06-01-2022,25.6,31.8,27.9,86.0,34.5,7.5,5.0,320.0,1.0,C ,5.0
246,jak-pus,06-01-2023,24.4,33.4,29.6,68.0,2.3,2.2,4.0,316.0,1.0,C ,2.0
247,jak-pus,06-01-2024,25.2,32.2,27.8,83.0,1,4.0,4.0,240.0,1.0,C ,1.0
248,jak-pus,06-02-2021,24.6,30.0,28.2,80.0,39.4,4.0,5.0,300.0,2.0,NW,0.0
